Filename,Green pixels,Total pixels,Coverage
B141_F_EE_IMG_1279_220523_WB_A2_Feuilles.JPG,255315,4631040,0.05513124481757877
B141_F_EE_IMG_1279_220523_WB_A2_Fleurs.JPG,16042,4628480,0.00346593266039823
B141_F_EE_IMG_1279_220523_WB_A2_Tiges.JPG,27483,4631040,0.0059345201077943615
B141_F_EE_IMG_1279_220523_WB_A2_Vrilles.JPG,76562,4631040,0.016532355583195137
B141_G_EE_IMG_1289_220523_WB_A2_Fleurs.JPG,17349,4646400,0.00373385847107438
B141_G_EE_IMG_1289_220523_WB_A2_Tiges.JPG,21311,4646400,0.004586561639118457
B141_G_EE_IMG_1289_220523_WB_A2_Vrilles.JPG,47712,4646400,0.010268595041322314
B141_H_EE_IMG_1290_220523_WB_A2_Feuilles.JPG,178859,4641280,0.03853656749862107
B141_H_EE_IMG_1290_220523_WB_A2_Fleurs.JPG,15696,4641280,0.003381825703254275
B141_H_EE_IMG_1290_220523_WB_A2_Tiges.JPG,15307,4641280,0.003298012617209046
B141_H_EE_IMG_1290_220523_WB_A2_Vrilles.JPG,46985,4641280,0.010123284955874242
B141_I_EE_IMG_1291_220523_WB_A2_Feuilles.JPG,144529,4633600,0.031191514157458564
B141_I_EE_IMG_1291_220523_WB_A2_Fleurs.JPG,16938,4633600,0.0036554730662983425
B141_I_EE_IMG_1291_220523_WB_A2_Tiges.JPG,13001,4633600,0.0028058097375690608
B141_I_EE_IMG_1291_220523_WB_A2_Vrilles.JPG,49811,4633600,0.010749956837016574
B142_A_EE_IMG_1333_220525_WB_A2_Feuilles.JPG,481289,4656640,0.1033554236531061
B142_A_EE_IMG_1333_220525_WB_A2_Fleurs.JPG,22164,4656640,0.004759655030236394
B142_A_EE_IMG_1333_220525_WB_A2_Vrilles.JPG,112022,4656640,0.024056401181968116
B142_B_EE_IMG_1334_220525_WB_A2_Feuilles.JPG,387363,4643840,0.08341437258820286
B142_B_EE_IMG_1334_220525_WB_A2_Fleurs.JPG,33808,4643840,0.007280181918412348
B142_B_EE_IMG_1334_220525_WB_A2_Tiges.JPG,67172,4643840,0.014464753307607497
B142_B_EE_IMG_1334_220525_WB_A2_Vrilles.JPG,111403,4643840,0.023989413933296583
B142_C_EE_IMG_1335_220525_WB_A2_Feuilles.JPG,529997,4651520,0.11394060436158503
B142_C_EE_IMG_1335_220525_WB_A2_Fleurs.JPG,25339,4651520,0.005447466634562466
B142_C_EE_IMG_1335_220525_WB_A2_Vrilles.JPG,121061,4651520,0.02602611619427628
B142_D_EE_IMG_1336_220525_WB_A2_Feuilles.JPG,446431,4643840,0.09613401839856671
B142_D_EE_IMG_1336_220525_WB_A2_Fleurs.JPG,48961,4643840,0.010543214236493936
B142_D_EE_IMG_1336_220525_WB_A2_Tiges.JPG,41906,4643840,0.009023997381477397
B142_D_EE_IMG_1336_220525_WB_A2_Vrilles.JPG,111198,4643840,0.023945269432194046
B142_E_EE_IMG_1337_220525_WB_A2_Feuilles.JPG,524705,4651520,0.11280291173637864
B142_E_EE_IMG_1337_220525_WB_A2_Fleurs.JPG,43570,4651520,0.009366830627407815
B142_E_EE_IMG_1337_220525_WB_A2_Tiges.JPG,63378,4651520,0.01362522358282884
B142_E_EE_IMG_1337_220525_WB_A2_Vrilles.JPG,163651,4651520,0.03518226300220143
B142_F_EE_IMG_1338_220525_WB_A2_Feuilles.JPG,457631,4646400,0.0984915203168044
B142_F_EE_IMG_1338_220525_WB_A2_Fleurs.JPG,38142,4646400,0.008208935950413223
B142_F_EE_IMG_1338_220525_WB_A2_Tiges.JPG,46479,4646400,0.010003228305785124
B142_F_EE_IMG_1338_220525_WB_A2_Vrilles.JPG,144825,4646400,0.0311692923553719
B142_G_EE_IMG_1339_220525_WB_A2_Feuilles.JPG,470146,4636160,0.10140849323578134
B142_G_EE_IMG_1339_220525_WB_A2_Fleurs.JPG,12722,4636160,0.0027440813086692436
B142_G_EE_IMG_1339_220525_WB_A2_Tiges.JPG,24773,4636160,0.005343430770292656
B142_G_EE_IMG_1339_220525_WB_A2_Vrilles.JPG,100727,4636160,0.02172638562948647
B142_H_EE_IMG_1340_220525_WB_A2_Feuilles.JPG,441412,4638720,0.09515814707505518
B142_H_EE_IMG_1340_220525_WB_A2_Fleurs.JPG,17369,4638720,0.0037443518901766003
B142_H_EE_IMG_1340_220525_WB_A2_Tiges.JPG,18669,4638720,0.00402460161423841
B142_H_EE_IMG_1340_220525_WB_A2_Vrilles.JPG,122724,4638720,0.026456436258278145
B142_I_EE_IMG_1341_220525_WB_A2_Feuilles.JPG,227135,4648960,0.048857163752753306
B142_I_EE_IMG_1341_220525_WB_A2_Fleurs.JPG,16961,4648960,0.0036483428551762113
B142_I_EE_IMG_1341_220525_WB_A2_Tiges.JPG,51115,4648960,0.010994932199889867
B142_I_EE_IMG_1341_220525_WB_A2_Vrilles.JPG,62264,4648960,0.013393102973568282
B143_A_EE_IMG_1293_220523_WB_A2_Feuilles.JPG,441250,4625920,0.09538643123962369
B143_A_EE_IMG_1293_220523_WB_A2_Tiges.JPG,21905,4625920,0.00473527428057554
B143_A_EE_IMG_1293_220523_WB_A2_Vrilles.JPG,93310,4625920,0.020171122717210846
B143_B_EE_IMG_1294_220523_WB_A2_Feuilles.JPG,384810,4625920,0.08318561496956281
B143_B_EE_IMG_1294_220523_WB_A2_Fleurs.JPG,57273,4625920,0.012380888558384063
B143_B_EE_IMG_1294_220523_WB_A2_Tiges.JPG,50792,4625920,0.01097986995019369
B143_B_EE_IMG_1294_220523_WB_A2_Vrilles.JPG,113901,4625920,0.024622345392916436
B143_C_EE_IMG_1295_220523_WB_A2_Feuilles.JPG,407777,4628480,0.08810170941648231
B143_C_EE_IMG_1295_220523_WB_A2_Fleurs.JPG,35299,4628480,0.007626477806969027
B143_C_EE_IMG_1295_220523_WB_A2_Tiges.JPG,36737,4628480,0.00793716295630531
B143_C_EE_IMG_1295_220523_WB_A2_Vrilles.JPG,92505,4628480,0.019986042934181415
B143_D_EE_IMG_1296_220523_WB_A2_Feuilles.JPG,241837,4636160,0.05216321265875207
B143_D_EE_IMG_1296_220523_WB_A2_Fleurs.JPG,34792,4636160,0.007504486471562673
B143_D_EE_IMG_1296_220523_WB_A2_Tiges.JPG,42204,4636160,0.009103223357261181
B143_D_EE_IMG_1296_220523_WB_A2_Vrilles.JPG,88334,4636160,0.019053268221976807
B144_A_EE_IMG_1304_220523_WB_A2_Feuilles.JPG,540547,4631040,0.11672259362907683
B144_A_EE_IMG_1304_220523_WB_A2_Tiges.JPG,42794,4631040,0.009240688916528468
B144_A_EE_IMG_1304_220523_WB_A2_Vrilles.JPG,113283,4631040,0.024461675995024877
B144_B_EE_IMG_1306_220523_WB_A2_Feuilles.JPG,508085,4623360,0.1098951844545958
B144_B_EE_IMG_1306_220523_WB_A2_Fleurs.JPG,51451,4623360,0.011128486641749723
B144_B_EE_IMG_1306_220523_WB_A2_Tiges.JPG,71925,4623360,0.01555686773255814
B144_B_EE_IMG_1306_220523_WB_A2_Vrilles.JPG,114103,4623360,0.024679670196567
B144_C_EE_IMG_1307_220523_WB_A2_Feuilles.JPG,478673,4756480,0.10063597450215285
B144_C_EE_IMG_1307_220523_WB_A2_Fleurs.JPG,43455,4756480,0.009135957682992465
B144_C_EE_IMG_1307_220523_WB_A2_Tiges.JPG,42238,4756480,0.008880096205597416
B144_C_EE_IMG_1307_220523_WB_A2_Vrilles.JPG,84019,4756480,0.017664112957481163
B144_D_EE_IMG_1308_220523_WB_A2_Feuilles.JPG,431629,4620800,0.09341001558171745
B144_D_EE_IMG_1308_220523_WB_A2_Fleurs.JPG,42816,4620800,0.009265927977839336
B144_D_EE_IMG_1308_220523_WB_A2_Tiges.JPG,51425,4620800,0.011129025277008311
B144_D_EE_IMG_1308_220523_WB_A2_Vrilles.JPG,138208,4620800,0.029909972299168974
B144_E_EE_IMG_1310_220523_WB_A2_Feuilles.JPG,225202,4633600,0.048601950966850826
B144_E_EE_IMG_1310_220523_WB_A2_Fleurs.JPG,36073,4633600,0.007785091505524862
B144_E_EE_IMG_1310_220523_WB_A2_Tiges.JPG,37021,4633600,0.007989684046961326
B144_E_EE_IMG_1310_220523_WB_A2_Vrilles.JPG,149475,4633600,0.03225893473756906
B144_F_EE_IMG_1311_220523_WB_A2_Feuilles.JPG,340396,4631040,0.07350314400221117
B144_F_EE_IMG_1311_220523_WB_A2_Fleurs.JPG,47065,4631040,0.010162943960751796
B144_F_EE_IMG_1311_220523_WB_A2_Tiges.JPG,46607,4631040,0.010064046088999447
B144_F_EE_IMG_1311_220523_WB_A2_Vrilles.JPG,82698,4631040,0.017857327943615258
B145_A_EE_IMG_1263_220520_WB_A2_Feuilles.JPG,502851,4631040,0.10858273735489221
B145_A_EE_IMG_1263_220520_WB_A2_Fleurs.JPG,14775,4631040,0.0031904280679933665
B145_A_EE_IMG_1263_220520_WB_A2_Tiges.JPG,45288,4631040,0.009779228855721392
B145_A_EE_IMG_1263_220520_WB_A2_Vrilles.JPG,133296,4631040,0.028783167495854065
